//------- VATSIM SCANDINAVIA - POLARIS FIR - CDM TAXIZONES -------// 
//------- For permission to reuse, redistribute, or modify for use in other sector files, contact Magnus Rudjord or Adrian Bjerke. -------//
//------- DEICE ORDER IS ALPHA SOUTH, BRAVO NORTH, ALPHA NORTH, BR DEICE PAD, NOT DEFINED -------//

#ENGM
//Cargo
ENGM:01L:60.195391666667:11.098525833333:60.199426388889:11.100904722222:60.199200277778:11.102735555556:60.195154166667:11.100238611111:15:18,36,22,0,0
ENGM:19R:60.195391666667:11.098525833333:60.199426388889:11.100904722222:60.199200277778:11.102735555556:60.195154166667:11.100238611111:11:21,31,14,0,0
ENGM:19L:60.195391666667:11.098525833333:60.199426388889:11.100904722222:60.199200277778:11.102735555556:60.195154166667:11.100238611111:12:36,15,25,0,0
ENGM:01R:60.195391666667:11.098525833333:60.199426388889:11.100904722222:60.199200277778:11.102735555556:60.195154166667:11.100238611111:15:37,22,22,0,0
//Pier North East
ENGM:01L:60.195113888889:11.100327777778:60.199240555556:11.102646388889:60.198897777778:11.104915555556:60.194891944444:11.102329166667:15:18,36,22,0,0
ENGM:19R:60.195113888889:11.100327777778:60.199240555556:11.102646388889:60.198897777778:11.104915555556:60.194891944444:11.102329166667:14:24,34,17,0,0
ENGM:19L:60.195113888889:11.100327777778:60.199240555556:11.102646388889:60.198897777778:11.104915555556:60.194891944444:11.102329166667:11:36,14,25,0,0
ENGM:01R:60.195113888889:11.100327777778:60.199240555556:11.102646388889:60.198897777778:11.104915555556:60.194891944444:11.102329166667:15:37,22,22,0,0
//International North
ENGM:01L:60.195030555556:11.100728611111:60.193713333333:11.111625:60.192825:11.111014166667:60.194301111111:11.100374722222:18:21,28,26,0,0
ENGM:19R:60.195030555556:11.100728611111:60.193713333333:11.111625:60.192825:11.111014166667:60.194301111111:11.100374722222:14:29,24,17,0,0
ENGM:19L:60.195030555556:11.100728611111:60.193713333333:11.111625:60.192825:11.111014166667:60.194301111111:11.100374722222:11:32,14,25,0,0
ENGM:01R:60.195030555556:11.100728611111:60.193713333333:11.111625:60.192825:11.111014166667:60.194301111111:11.100374722222:11:32,14,25,0,0
//International South
ENGM:01L:60.191570277778:11.101022222222:60.194013055556:11.102450833333:60.192759166667:11.111088888889:60.190201666667:11.109484166667:19:22,29,27,0,0
ENGM:19R:60.191570277778:11.101022222222:60.194013055556:11.102450833333:60.192759166667:11.111088888889:60.190201666667:11.109484166667:16:31,26,19,0,0
ENGM:19L:60.191570277778:11.101022222222:60.194013055556:11.102450833333:60.192759166667:11.111088888889:60.190201666667:11.109484166667:11:32,14,25,0,0
ENGM:01R:60.191570277778:11.101022222222:60.194013055556:11.102450833333:60.192759166667:11.111088888889:60.190201666667:11.109484166667:12:33,15,26,0,0
//GA South
ENGM:01L:60.19827:11.072170277778:60.2028825:11.074593888889:60.202113611111:11.079532777778:60.197603333333:11.076775:19:22,29,27,0,0
ENGM:19R:60.19827:11.072170277778:60.2028825:11.074593888889:60.202113611111:11.079532777778:60.197603333333:11.076775:17:32,27,20,0,0
ENGM:19L:60.19827:11.072170277778:60.2028825:11.074593888889:60.202113611111:11.079532777778:60.197603333333:11.076775:20:42,23,27,0,0
ENGM:01R:60.19827:11.072170277778:60.2028825:11.074593888889:60.202113611111:11.079532777778:60.197603333333:11.076775:25:37,31,35,0,0
//GA North
ENGM:01L:60.202873333333:11.075260277778:60.211319444444:11.078103611111:60.210153611111:11.085504722222:60.202271388889:11.079397777778:19:22,29,27,0,0
ENGM:19R:60.202873333333:11.075260277778:60.211319444444:11.078103611111:60.210153611111:11.085504722222:60.202271388889:11.079397777778:17:32,27,20,0,0
ENGM:19L:60.202873333333:11.075260277778:60.211319444444:11.078103611111:60.210153611111:11.085504722222:60.202271388889:11.079397777778:20:42,23,27,0,0
ENGM:01R:60.202873333333:11.075260277778:60.211319444444:11.078103611111:60.210153611111:11.085504722222:60.202271388889:11.079397777778:25:37,31,35,0,0

#ENBR
//Terminal and heli
ENBR:35:60.286065555556:5.2302038888889:60.285631944444:5.225125:60.293545277778:5.2225005555556:60.294036111111:5.2275822222222:10:0,0,0,25,0
ENBR:17:60.286065555556:5.2302038888889:60.285631944444:5.225125:60.293545277778:5.2225005555556:60.294036111111:5.22758222222221:12:0,0,0,17,0
//Remote
ENBR:35:60.281961388889:5.22606:60.285221388889:5.224995:60.285375277778:5.2271438888889:60.2821225:5.2281602777778:9:0,0,0,26,0
ENBR:17:60.281961388889:5.22606:60.285221388889:5.224995:60.285375277778:5.2271438888889:60.2821225:5.2281602777778:13:0,0,0,18,0
//Technical and GA
ENBR:35:60.298246111111:5.2259047222222:60.294811111111:5.2270547222222:60.294428333333:5.2221641666667:60.297540555556:5.2211058333333:12:0,0,0,3,0
ENBR:17:60.298246111111:5.2259047222222:60.294811111111:5.2270547222222:60.294428333333:5.2221641666667:60.297540555556:5.2211058333333:10:0,0,0,3,0

